model_name,total_games,black_llm_wins,white_rand_wins,draws,llm_total_moves,llm_wrong_actions,llm_wrong_moves,llm_avg_material,llm_std_dev_material,rand_avg_material,rand_std_dev_material,material_diff_llm_minus_rand,wrong_actions_per_move,wrong_moves_per_move,average_moves,std_dev_moves
gemini-1.5-pro-preview-0409,10,0,7,3,857,11,132,25.9,11.249197502241858,33.2,4.984420171338332,-7.300000000000004,85.7,0.012835472578763127,0.15402567094515754,57.24615465009176
gpt-4o-mini-2024-07-18,10,0,4,6,1571,214,17,19.0,10.561986345169906,26.1,8.385834616913346,-7.100000000000001,157.1,0.13621896880967538,0.010821133036282623,66.98001360273244
gpt-4o-mini-2024-07-18,10,0,5,5,1480,206,18,21.8,12.09958676980334,26.6,9.22797678559908,-4.800000000000001,148.0,0.13918918918918918,0.012162162162162163,66.83977525063617
gemini-1.5-flash-001,10,0,10,0,126,33,21,38.9,0.31622776601683794,38.9,0.31622776601683794,0.0,12.6,0.2619047619047619,0.16666666666666666,7.366591251499344
anthropic.claude-v3-5-sonnet,10,0,6,4,1482,0,21,20.5,11.76860229593982,22.0,13.02134998974974,-1.5,148.2,0.0,0.01417004048582996,63.056940758157445
anthropic.claude-v3-haiku,10,0,5,5,982,128,41,26.9,12.178761111961357,26.7,9.855060741681008,0.1999999999999993,98.2,0.13034623217922606,0.04175152749490835,70.9456756179606
anthropic.claude-v3-haiku,10,0,7,3,764,117,65,30.1,12.653062870309308,30.5,11.452801695072987,-0.3999999999999986,76.4,0.1531413612565445,0.08507853403141362,76.29067221270675
