Player,total_games,player_wins,opponent_wins,draws,player_wins_percent,player_draws_percent,average_moves,moe_average_moves,total_moves,player_wrong_actions,player_wrong_moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,moe_mistakes_per_1000moves,player_avg_material,opponent_avg_material,material_diff_player_llm_minus_opponent,moe_material_diff_llm_minus_rand,completion_tokens_black_per_move,moe_completion_tokens_black_per_move,moe_black_llm_win_rate,moe_draw_rate,moe_black_llm_loss_rate,win_loss,moe_win_loss,win_loss_non_interrupted,moe_win_loss_non_interrupted,game_duration,moe_game_duration,games_interrupted,games_interrupted_percent,moe_games_interrupted,games_not_interrupted,games_not_interrupted_percent,moe_games_not_interrupted,average_game_cost,moe_average_game_cost,price_per_1000_moves,moe_price_per_1000_moves,average_time_per_game_seconds,moe_average_time_per_game_seconds,abnormal_finishes_total,abnormal_finishes_percent,abnormal_too_many_wrong_actions_count,abnormal_too_many_wrong_actions_percent,abnormal_max_turns_count,abnormal_max_turns_percent,abnormal_unknown_issue_count,abnormal_unknown_issue_percent,abnormal_error_count,abnormal_error_percent
claude-3-sonnet,34,0,20,14,0.0,41.176,108.147,27.96,3677,45,224,12.238,60.919,73.157,57.157,24.559,24.118,0.441,2.516,102.649,5.212,0.0,0.165,0.165,0.206,0.084,0.467,0.065,0.555,0.142,19,55.882,0.167,15,44.118,0.167,0.40399,0.09592,4.2921,0.3463,0.0,0.0,19,55.882,18,52.941,1,2.941,0,0.0,0,0.0
gemini-2.5-pro-preview-03-25,43,12,19,12,27.907,27.907,104.256,15.942,4483,63,218,14.053,48.628,62.681,13.163,22.14,7.744,14.396,3.367,434.93,11.684,0.134,0.134,0.148,0.419,0.126,0.761,0.104,0.736,0.096,20,46.512,0.149,23,53.488,0.149,0.55703,0.08452,5.34011,0.14908,3984.079,683.404,20,46.512,9,20.93,1,2.326,0,0.0,10,23.256
non-deepseek-r1-t03_mini41-t10_mini41-t03,35,10,1,24,28.571,68.571,156.857,17.54,5490,1,262,0.182,47.723,47.905,6.633,11.2,1.629,9.571,3.141,4952.911,136.144,0.15,0.154,0.055,0.629,0.084,0.629,0.084,1.0,0.0,0,0.0,0.0,35,100.0,0.0,2.21551,0.24103,14.25801,0.38048,8949.338,1071.039,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
claude-2-1,34,0,34,0,0.0,0.0,20.941,5.015,712,188,127,264.045,178.371,442.416,94.579,37.559,37.382,0.177,0.916,99.149,31.959,0.0,0.0,0.0,0.0,0.0,0.5,0,0.105,0.025,34,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34,100.0,33,97.059,1,2.941,0,0.0,0,0.0
non-gemini-25pro-t03_mini41-t00_mini41-t03,45,26,0,19,57.778,42.222,114.8,15.121,5166,0,103,0.0,19.938,19.938,4.437,21.8,4.778,17.022,3.243,410.51,11.019,0.144,0.144,0.0,0.789,0.073,0.789,0.073,1.0,0.0,0,0.0,0.0,45,100.0,0.0,0.0,0.0,0.0,0.0,4669.858,591.352,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-4o-2024-11-20,46,1,5,40,2.174,86.957,185.891,11.935,8551,45,88,5.263,10.291,15.554,6.552,11.957,20.413,-8.456,3.175,53.194,0.409,0.042,0.097,0.09,0.457,0.051,0.488,0.04,0.949,0.057,3,6.522,0.071,43,93.478,0.071,0.31823,0.0203,1.71846,0.01788,0.0,0.0,3,6.522,3,6.522,0,0.0,0,0.0,0,0.0
claude-3-7-sonnet-20250219_thinking_5000,41,7,1,33,17.073,80.488,181.293,11.816,7433,1,21,0.135,2.825,2.96,1.245,9.561,2.39,7.171,2.311,575.316,9.761,0.115,0.121,0.047,0.573,0.065,0.573,0.065,1.0,0.0,0,0.0,0.0,41,100.0,0.0,1.91561,0.12592,10.57228,0.15071,2162.254,227.136,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
gpt-4o-mini-2024-07-18,72,1,34,37,1.389,51.389,150.097,14.485,10807,843,234,78.005,21.653,99.658,9.826,20.097,25.208,-5.111,1.911,103.154,3.798,0.027,0.115,0.115,0.271,0.061,0.453,0.055,0.789,0.07,29,40.278,0.113,43,59.722,0.113,0.02141,0.00206,0.14433,0.00293,0.0,0.0,29,40.278,29,40.278,0,0.0,0,0.0,0,0.0
qwen-3-32b,63,0,63,0,0.0,0.0,22.825,4.183,1438,30,468,20.862,325.452,346.314,35.174,36.19,34.762,1.428,1.188,4458.13,419.786,0.0,0.0,0.0,0.0,0.0,0.5,0,0.114,0.021,63,100.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,84.465,16.861,63,100.0,59,93.651,0,0.0,0,0.0,4,6.349
o3-mini-2025-01-31-medium,42,13,1,28,30.952,66.667,148.143,17.698,6222,126,87,20.251,13.983,34.233,5.908,17.119,1.286,15.833,2.775,2368.784,60.936,0.14,0.143,0.046,0.643,0.077,0.659,0.072,0.986,0.027,1,2.381,0.046,41,97.619,0.046,1.5972,0.1921,10.79721,0.27165,2286.858,266.795,1,2.381,1,2.381,0,0.0,0,0.0,0,0.0
gpt-4-turbo-2024-04-09,33,1,2,30,3.03,90.909,193.333,8.419,6380,5,14,0.784,2.194,2.978,3.373,16.485,19.909,-3.424,3.638,6.079,0.097,0.058,0.098,0.081,0.485,0.052,0.516,0.032,0.971,0.042,2,6.061,0.081,31,93.939,0.081,0.84829,0.03642,4.39171,0.03691,0.0,0.0,2,6.061,2,6.061,0,0.0,0,0.0,0,0.0
deepseek-v3-0324,45,1,41,3,2.222,6.667,72.444,16.633,3260,6,350,1.84,107.362,109.202,24.608,27.333,25.133,2.2,1.808,410.707,13.223,0.043,0.073,0.083,0.056,0.056,0.625,0.245,0.362,0.083,41,91.111,0.083,4,8.889,0.083,0.04699,0.01102,0.64627,0.02072,0.0,0.0,41,91.111,40,88.889,1,2.222,0,0.0,0,0.0
