Player,total_games,player_wins,opponent_wins,draws,player_wins_percent,player_draws_percent,average_moves,moe_average_moves,total_moves,player_wrong_actions,player_wrong_moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,moe_mistakes_per_1000moves,player_avg_material,opponent_avg_material,material_diff_player_llm_minus_opponent,moe_material_diff_llm_minus_rand,completion_tokens_black_per_move,moe_completion_tokens_black_per_move,moe_black_llm_win_rate,moe_draw_rate,moe_black_llm_loss_rate,win_loss,moe_win_loss,win_loss_non_interrupted,moe_win_loss_non_interrupted,game_duration,moe_game_duration,games_interrupted,games_interrupted_percent,moe_games_interrupted,games_not_interrupted,games_not_interrupted_percent,moe_games_not_interrupted,average_game_cost,moe_average_game_cost,reason_too_many_wrong_actions,reason_checkmate,reason_stalemate,reason_insufficient_material,reason_seventyfive_moves,reason_fivefold_repetition,reason_max_turns,reason_unknown_issue,reason_max_moves,reason_error,white_checkmates,black_checkmates,get_board_actions_per_move,get_legal_moves_per_move,make_move_per_move
Llama-3.1-Tulu-3-8B,30,0,30,0,0.0,0.0,3.533,0.812,106,3,20,20.833,208.333,229.167,154.989,39.0,39.0,0.0,0.0,1857.84,476.211,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.018,0.004,30,100.0,0.0,0,0.0,0.0,0.00122,0.00021,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.7666666666666667,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Llama-3.3-70B,30,0,27,3,0.0,10.0,72.867,25.348,2186,2,68,4.63,105.621,110.251,51.65,30.433,32.833,-2.4,2.113,102.42,7.39,0.0,0.107,0.107,0.05,0.055,0.214,0.198,0.414,0.142,23,76.667,0.151,7,23.333,0.151,0.01475,0.00475,0.7,0.13333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.1,0.0,4,0,0.0,0.0,0.0
Llama 4 Scout,30,0,24,6,0.0,20.0,103.033,24.588,3091,4,676,1.046,251.982,253.028,31.052,23.933,28.533,-4.6,2.894,156.859,5.179,0.0,0.143,0.143,0.1,0.073,0.429,0.14,0.545,0.124,23,76.667,0.151,7,23.333,0.151,0.06102,0.01368,0.6333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.13333333333333333,0.0,0.2,0.0,1,0,0.506,0.533,0.734
Llama-3-8B,30,0,30,0,0.0,0.0,15.933,4.552,478,51,36,224.974,98.597,323.572,84.639,38.0,38.833,-0.833,0.931,50.169,9.592,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.08,0.023,30,100.0,0.0,0,0.0,0.0,0.00043,0.00011,0.9,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Llama-3.1-8B,30,0,30,0,0.0,0.0,24.933,6.309,748,12,67,18.197,128.53,146.727,33.936,37.933,37.9,0.033,0.674,122.322,65.112,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.125,0.032,30,100.0,0.0,0,0.0,0.0,0.00083,0.0002,0.8,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Mercury Coder Small,30,0,30,0,0.0,0.0,10.4,1.554,312,0,114,0.0,392.5,392.5,39.919,38.833,38.7,0.133,0.477,856.484,47.79,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.052,0.008,30,100.0,0.0,0,0.0,0.0,0.03186,0.00474,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.5,0.379,0.782
Mistral 8B Instruct,30,0,30,0,0.0,0.0,9.4,2.473,282,56,34,453.518,152.812,606.33,187.553,38.767,38.6,0.167,0.565,72.113,12.894,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.047,0.012,30,100.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Mistral-Nemo-Instruct-2407,30,0,30,0,0.0,0.0,6.733,1.837,202,79,11,733.948,42.5,776.448,194.255,38.767,38.667,0.1,0.509,47.698,18.785,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.034,0.009,30,100.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Mistral-Small-24B-Instruct-2501,30,0,30,0,0.0,0.0,19.933,5.992,598,3,87,6.838,223.59,230.427,48.09,37.667,38.167,-0.5,1.111,108.395,4.805,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.1,0.03,30,100.0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Mistral-Small-Instruct-2409,30,0,30,0,0.0,0.0,9.067,1.905,272,58,32,365.496,127.918,493.415,136.374,38.867,38.833,0.033,0.175,88.243,21.229,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.045,0.01,30,100.0,0.0,0,0.0,0.0,0.00026,6e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
o1 (low),30,17,0,13,56.667,43.333,132.167,20.054,3965,0,0,0.0,0.0,0.0,0.0,17.3,2.967,14.333,4.31,1603.071,41.366,0.177,0.177,0.0,0.783,0.09,0.783,0.09,1.0,0.0,0,0.0,0.0,30,100.0,0.0,13.57229,1.99611,0.0,0.5666666666666667,0.03333333333333333,0.23333333333333334,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0,17,0.0,0.0,0.0
o1 (medium),30,25,0,5,83.333,16.667,96.167,15.797,2885,5,11,1.299,4.227,5.526,2.447,25.0,2.667,22.333,3.485,3346.287,62.596,0.133,0.133,0.0,0.917,0.068,0.917,0.068,1.0,0.0,0,0.0,0.0,30,100.0,0.0,19.93578,3.22106,0.0,0.8333333333333334,0.13333333333333333,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,25,0.5,0.478,0.504
o1-preview,30,14,3,13,46.667,43.333,124.8,22.016,3744,4,10,2.923,6.364,9.287,10.21,17.8,4.033,13.767,4.336,2660.072,95.706,0.179,0.177,0.107,0.683,0.12,0.759,0.096,0.93,0.078,3,10.0,0.107,27,90.0,0.107,22.56184,3.76271,0.1,0.4666666666666667,0.03333333333333333,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0,14,0.0,0.0,0.0
o3 (low),30,27,0,3,90.0,10.0,63.467,16.18,1904,1,2,0.417,0.895,1.312,1.477,31.733,10.567,21.167,3.753,2087.893,189.419,0.107,0.107,0.0,0.95,0.055,0.95,0.055,1.0,0.0,0,0.0,0.0,30,100.0,0.0,5.53227,1.41603,0.0,0.9,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0,27,0.499,0.312,0.501
o3 (medium),30,30,0,0,100.0,0.0,40.133,11.575,1204,0,1,0.0,1.282,1.282,2.513,35.033,17.6,17.433,3.475,5096.504,500.91,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0,0.0,0.0,30,100.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,30,0.497,0.234,0.501
o3-mini (low),30,3,11,16,10.0,53.333,139.267,25.469,4178,1,26,0.476,16.321,16.797,12.01,19.367,13.667,5.7,3.163,681.513,24.23,0.107,0.179,0.172,0.367,0.114,0.579,0.084,0.766,0.126,11,36.667,0.172,19,63.333,0.172,0.47839,0.08878,0.3,0.1,0.03333333333333333,0.0,0.0,0.0,0.06666666666666667,0.0,0.5,0.0,0,3,0.0,0.0,0.0
o3-mini (medium),30,9,1,20,30.0,66.667,135.667,21.826,4070,3,4,2.334,4.15,6.484,9.805,17.867,1.833,16.033,4.389,2489.109,94.139,0.164,0.169,0.064,0.633,0.093,0.655,0.086,0.97,0.059,1,3.333,0.064,29,96.667,0.064,1.53215,0.23134,0.03333333333333333,0.3,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0,9,0.0,0.0,0.0
o4-mini (high),30,27,0,3,90.0,10.0,65.9,13.187,1977,68,6,36.488,3.006,39.495,10.485,29.967,7.167,22.8,3.102,6128.881,475.288,0.107,0.107,0.0,0.95,0.055,0.95,0.055,1.0,0.0,0,0.0,0.0,30,100.0,0.0,1.80816,0.36745,0.0,0.9,0.06666666666666667,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0,27,0.472,0.454,0.503
o4-mini (low),30,14,0,16,46.667,53.333,145.733,15.968,4372,386,27,85.447,6.107,91.553,10.825,18.6,2.533,16.067,3.363,673.199,16.866,0.179,0.179,0.0,0.733,0.091,0.733,0.091,1.0,0.0,0,0.0,0.0,30,100.0,0.0,0.50733,0.06032,0.0,0.4666666666666667,0.23333333333333334,0.06666666666666667,0.0,0.0,0.0,0.0,0.23333333333333334,0.0,0,14,0.452,0.499,0.506
o4-mini (medium),30,24,0,6,80.0,20.0,90.633,17.103,2719,78,13,25.92,3.926,29.846,8.313,27.833,4.0,23.833,3.277,2185.674,121.53,0.143,0.143,0.0,0.9,0.073,0.9,0.073,1.0,0.0,0,0.0,0.0,30,100.0,0.0,0.91407,0.18159,0.0,0.8,0.1,0.03333333333333333,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0,24,0.454,0.477,0.504
Phi-4,30,0,30,0,0.0,0.0,7.733,1.657,232,44,46,264.848,232.673,497.522,77.509,39.0,39.0,0.0,0.0,333.543,40.983,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.039,0.008,30,100.0,0.0,0,0.0,0.0,0.00065,0.00011,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Qwen2.5-Max,30,0,1,29,0.0,96.667,197.433,5.031,5923,0,0,0.0,0.0,0.0,0.0,18.233,20.6,-2.367,3.328,6.047,0.032,0.0,0.064,0.064,0.483,0.033,0.483,0.033,1.0,0.0,0,0.0,0.0,30,100.0,0.0,0.13456,0.00364,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.9666666666666667,0.0,1,0,0.0,0.0,0.0
Qwen Plus,30,0,27,3,0.0,10.0,90.467,22.923,2714,2,80,1.296,64.599,65.895,25.346,27.8,25.1,2.7,3.024,439.905,7.505,0.0,0.107,0.107,0.05,0.055,0.5,0.0,0.452,0.115,27,90.0,0.107,3,10.0,0.107,0.0751,0.01881,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0,0,0.0,0.0,0.0
Qwen Turbo,30,0,30,0,0.0,0.0,20.6,5.219,618,4,86,11.294,224.935,236.229,65.694,37.9,38.3,-0.4,1.149,192.693,28.556,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.103,0.026,30,100.0,0.0,0,0.0,0.0,0.0016,0.00035,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Qwen2.5-14B-Instruct,30,0,30,0,0.0,0.0,8.0,2.007,240,30,43,184.921,203.056,387.976,74.154,38.9,38.967,-0.067,0.131,213.571,87.432,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.04,0.01,30,100.0,0.0,0,0.0,0.0,0.00807,0.00173,0.7,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Qwen2.5-14B-Instruct (Q8),30,0,30,0,0.0,0.0,13.267,3.588,398,29,59,156.931,212.674,369.605,109.702,38.567,38.4,0.167,0.638,150.631,18.311,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.066,0.018,30,100.0,0.0,0,0.0,0.0,0.00956,0.00228,0.9666666666666667,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Qwen2.5-72B-Instruct,30,0,28,2,0.0,6.667,64.1,18.287,1923,10,71,8.233,81.144,89.377,34.983,30.667,32.733,-2.067,2.11,219.465,10.325,0.0,0.089,0.089,0.033,0.045,0.333,0.327,0.336,0.101,27,90.0,0.107,3,10.0,0.107,0.01101,0.00286,0.9,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,1,0,0.0,0.0,0.0
Qwen2.5-7B-Instruct,30,0,30,0,0.0,0.0,10.8,2.533,324,26,64,173.362,299.0,472.362,142.843,38.633,38.633,0.0,0.266,137.324,18.724,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.054,0.013,30,100.0,0.0,0,0.0,0.0,0.00011,2e-05,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
QWQ-32B,30,0,30,0,0.0,0.0,25.533,5.94,766,3,83,8.333,148.224,156.557,33.763,36.867,33.2,3.667,1.769,8148.05,354.675,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.128,0.03,30,100.0,0.0,0,0.0,0.0,0.04492,0.01065,0.9333333333333333,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0,0,0.0,0.0,0.0
