Player,total_games,player_wins,opponent_wins,draws,player_wins_percent,player_draws_percent,average_moves,moe_average_moves,total_moves,player_wrong_actions,player_wrong_moves,wrong_actions_per_1000moves,wrong_moves_per_1000moves,mistakes_per_1000moves,moe_mistakes_per_1000moves,player_avg_material,opponent_avg_material,material_diff_player_llm_minus_opponent,moe_material_diff_llm_minus_rand,completion_tokens_black_per_move,moe_completion_tokens_black_per_move,moe_black_llm_win_rate,moe_draw_rate,moe_black_llm_loss_rate,win_loss,moe_win_loss,win_loss_non_interrupted,moe_win_loss_non_interrupted,game_duration,moe_game_duration,games_interrupted,games_interrupted_percent,moe_games_interrupted,games_not_interrupted,games_not_interrupted_percent,moe_games_not_interrupted,average_game_cost,moe_average_game_cost,reason_too_many_wrong_actions,reason_checkmate,reason_stalemate,reason_insufficient_material,reason_seventyfive_moves,reason_fivefold_repetition,reason_max_turns,reason_unknown_issue,reason_max_moves,reason_error,white_checkmates,black_checkmates,get_board_actions_per_move,get_legal_moves_per_move,make_move_per_move
DeepSeek-R1-Distill-Qwen-14B,30,0,30,0,0.0,0.0,2.6,0.383,78,82,8,1175.0,116.667,1291.667,126.699,39.0,39.0,0.0,0.0,3073.064,294.833,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.013,0.002,30,100.0,0.0,0,0.0,0.0,0.00189,0.00023,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
DeepSeek-R1-Distill-Qwen-32B,30,0,30,0,0.0,0.0,3.667,0.842,110,73,7,894.444,65.833,960.278,174.459,39.0,38.967,0.033,0.065,2173.827,409.717,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.018,0.004,30,100.0,0.0,0,0.0,0.0,0.00196,0.00038,0.7333333333333333,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Deepseek-R1,30,7,18,5,23.333,16.667,88.167,22.506,2645,9,43,6.309,48.219,54.529,33.762,22.6,11.167,11.433,3.674,4598.694,196.313,0.151,0.133,0.175,0.317,0.152,0.792,0.146,0.611,0.14,18,60.0,0.175,12,40.0,0.175,0.9033,0.21977,0.5333333333333333,0.23333333333333334,0.03333333333333333,0.1,0.0,0.0,0.06666666666666667,0.0,0.03333333333333333,0.0,0,7,0.0,0.0,0.0
Gemini 1.5 Flash,30,0,20,10,0.0,33.333,84.133,33.529,2524,18,36,114.577,229.153,343.73,121.095,29.267,35.667,-6.4,3.128,19.915,4.412,0.0,0.169,0.169,0.167,0.086,0.417,0.11,0.429,0.171,18,60.0,0.175,12,40.0,0.175,0.00338,0.00127,0.6,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,2,0,0.0,0.0,0.0
Gemini 2.0 Flash,30,1,21,8,3.333,26.667,147.0,18.31,4410,8,49,2.238,15.728,17.967,8.047,16.933,18.267,-1.333,3.791,94.504,5.704,0.064,0.158,0.164,0.167,0.098,0.455,0.159,0.785,0.085,19,63.333,0.172,11,36.667,0.172,0.01375,0.00189,0.6333333333333333,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.0,2,1,0.0,0.0,0.0
Gemini 2.0 Flash (exp),30,0,28,2,0.0,6.667,85.867,26.346,2576,0,81,0.0,117.395,117.395,46.899,26.933,27.167,-0.233,1.881,168.15,16.079,0.0,0.089,0.089,0.033,0.045,0.5,0.0,0.429,0.132,28,93.333,0.089,2,6.667,0.089,0.01151,0.00365,0.9,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0,0,0,0.0,0.0,0.0
Gemini 2.0 Flash Lite,30,1,29,0,3.333,0.0,90.267,23.25,2708,10,71,7.48,118.333,125.813,78.977,25.833,30.3,-4.467,2.697,148.947,10.759,0.064,0.0,0.064,0.033,0.065,0.333,0.653,0.472,0.125,27,90.0,0.107,3,10.0,0.107,0.00797,0.00204,0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0.0,0.0
Gemini 2.0 Flash Lite (preview),30,0,30,0,0.0,0.0,54.4,18.981,1632,20,70,20.797,159.142,179.939,84.812,32.133,34.467,-2.333,1.626,144.496,10.317,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.272,0.095,30,100.0,0.0,0,0.0,0.0,0.00471,0.00167,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Gemini 2.0 Flash Thinking,30,0,30,0,0.0,0.0,2.333,0.33,70,89,1,1386.111,5.556,1391.667,101.55,39.0,39.0,0.0,0.0,724.543,78.286,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.012,0.002,30,100.0,0.0,0,0.0,0.0,0.00103,0.00026,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0
Gemini 2.5 Pro Preview,30,11,9,10,36.667,33.333,106.033,19.292,3181,40,166,15.856,53.41,69.266,16.677,22.267,7.1,15.167,4.217,435.833,14.425,0.172,0.169,0.164,0.533,0.148,0.762,0.109,0.814,0.11,9,30.0,0.164,21,70.0,0.164,0.56859,0.10382,0.26666666666666666,0.36666666666666664,0.16666666666666666,0.1,0.0,0.0,0.03333333333333333,0.0,0.06666666666666667,0.0,0,11,0.516,0.498,0.547
