model_name,total_games,black_llm_wins,white_rand_wins,draws,llm_total_moves,llm_wrong_actions,llm_wrong_moves,llm_avg_material,llm_std_dev_material,rand_avg_material,rand_std_dev_material,material_diff_llm_minus_rand,wrong_actions_per_100moves,wrong_moves_per_100moves,average_moves,std_dev_moves
anthropic.claude-v3-5-sonnet,10,0,10,0,396,9,2,30.4,13.729125568982495,32.5,10.058164179743073,-2.1000000000000014,2.272727272727273,0.5050505050505051,39.6,52.65231872070466
gemini-1.5-flash-001,10,0,10,0,76,27,3,38.8,0.6324555320336759,39.0,0.0,-0.20000000000000284,35.526315789473685,3.9473684210526314,7.6,5.4812812776251905
gemini-1.5-flash-001,10,0,10,0,70,26,4,39.0,0.0,39.0,0.0,0.0,37.142857142857146,5.714285714285714,7.0,4.447221354708778
gemini-1.5-pro-preview-0409,10,0,10,0,38,19,0,39.0,0.0,39.0,0.0,0.0,50.0,0.0,3.8,2.2010098692292237
gpt-4-turbo-2024-04-09,10,0,7,3,928,21,2,29.6,11.393955512561133,26.4,9.453982112198952,3.200000000000003,2.2629310344827585,0.21551724137931033,92.8,62.5456277892832
gpt-4o-2024-08-06,10,0,7,3,1219,2,19,25.0,10.066445913694333,25.1,10.826408042888053,-0.10000000000000142,0.16406890894175555,1.5586546349466777,121.9,64.88699578669228
gpt-4o-mini-2024-07-18,10,0,10,0,56,7,0,39.0,0.0,38.9,0.31622776601683794,0.10000000000000142,12.5,0.0,5.6,3.3730961708462712
gpt-4o-mini-2024-07-18,10,0,10,0,54,4,2,38.7,0.9486832980505138,38.7,0.9486832980505138,0.0,7.4074074074074066,3.7037037037037033,5.4,4.115013163202923
