model_name,total_games,black_llm_wins,white_rand_wins,draws,black_llm_wins_percent,black_llm_draws_percent,llm_total_moves,llm_wrong_actions,llm_wrong_moves,llm_avg_material,llm_std_dev_material,rand_avg_material,rand_std_dev_material,material_diff_llm_minus_rand,material_diff_llm_minus_rand_per_100moves,wrong_actions_per_100moves,wrong_moves_per_100moves,average_moves,std_dev_moves,completion_tokens_black,completion_tokens_black_per_move,min_moves,max_moves,prompt_tokens_black,total_tokens_black
gemma-2-9b-it@f16,140,0,128,12,0.0,8.571428571428571,8782,249,128,25.255636529264404,9.768797877841191,29.138920519243907,7.99472124981714,-3.8832839899795033,-0.044218674447500605,2.8353450239125486,1.4575267592803463,62.72857142857143,59.68127761667962,469466,53.45775449783648,2,200,5715015,5245549
gemma-2-9b-it@f16|NOFA,70,0,62,8,0.0,11.428571428571429,4116,102,80,25.494655004859087,10.222487102855796,31.282555879494655,7.20025218743886,-5.787900874635568,-0.14061955477734617,2.478134110787172,1.9436345966958213,58.8,59.06862836686542,223782,54.36880466472303,6,200,2752668,2528886
gemma-2-9b-it@f32,70,0,68,2,0.0,2.857142857142857,4014,117,81,25.57997010463378,8.979101984360343,30.769307424015945,7.06606976839024,-5.189337319382165,-0.12928094966074152,2.914798206278027,2.0179372197309418,57.34285714285714,54.33806498323665,218637,54.46860986547085,2,200,2677479,2458842
gemma-2-9b-it@iq4_xs,140,0,114,26,0.0,18.571428571428573,11261,248,90,22.479975135423143,9.880687454997455,25.65651363111624,8.695202879957808,-3.176538495693098,-0.028208316274692283,2.2022910931533612,0.7992185418701715,80.43571428571428,73.46750600623048,719312,63.87638753219075,2,200,7113927,6394615
gemma-2-9b-it@iq4_xs|NOFA,70,0,59,11,0.0,15.714285714285714,5638,135,43,24.945015963107483,9.876471470635703,26.7119545938276,7.428221191578362,-1.7669386307201158,-0.03133981253494352,2.3944661227385597,0.7626818020574672,80.54285714285714,67.23852758528204,361151,64.056580347641,2,200,3609966,3248815
gemma-2-9b-it@q4_k_m,140,1,139,0,0.7142857142857143,0.0,7466,234,175,26.18952585052237,9.907466472286398,31.652022502009107,6.981836624752171,-5.462496651486738,-0.0731649698832941,3.134208411465309,2.343959282078757,53.32857142857143,49.50576342452359,476207,63.78341816233592,2,198,5074510,4598303
gemma-2-9b-it@q4_k_m|NOFA,70,0,69,1,0.0,1.4285714285714286,2978,106,95,27.06548018804567,8.762408094944043,32.78173270651444,6.663456626807032,-5.716252518468771,-0.1919493793978768,3.5594358629952985,3.1900604432505038,42.542857142857144,43.6134598209202,192662,64.69509738079248,2,200,2094007,1901345
gemma-2-9b-it@q8_0,140,1,128,11,0.7142857142857143,7.857142857142857,8226,230,137,25.2369316800389,9.89493321849342,30.14320447362023,8.105816897886726,-4.90627279358133,-0.05964348156554011,2.7960126428397762,1.6654510089958667,58.75714285714286,57.996412626567,440932,53.60223681011427,2,200,5373403,4932471
gemma-2-9b-it@q8_0|NOFA,70,0,64,6,0.0,8.571428571428571,4898,118,75,25.428338097182525,9.421218619914315,28.576561861984484,7.385491572675471,-3.1482237648019584,-0.06427569956721026,2.4091465904450793,1.5312372396896692,69.97142857142858,65.3968045153303,262572,53.60800326663944,2,200,3192257,2929685
meta-llama-3.1-8b-instruct@f16,140,0,140,0,0.0,0.0,978,37,60,38.8159509202454,0.47306939015103866,38.93660531697341,0.24367149441573221,-0.12065439672801404,-0.012336850381187531,3.783231083844581,6.134969325153374,6.985714285714286,4.638327460696696,143543,146.7719836400818,2,22,2043046,1899503
meta-llama-3.1-8b-instruct@f16|NOFA,70,0,70,0,0.0,0.0,524,16,28,38.270992366412216,1.4849879095618095,38.69083969465649,0.629909769581026,-0.4198473282442734,-0.08012353592447966,3.0534351145038165,5.343511450381679,7.485714285714286,6.285454540087789,72855,139.03625954198472,2,34,1037160,964305
meta-llama-3.1-8b-instruct@f32,70,0,70,0,0.0,0.0,1699,43,115,35.93172454384932,6.056146948395266,36.35020600353149,5.649807271575188,-0.41848145968216954,-0.024631045302070012,2.530900529723367,6.768687463213655,24.271428571428572,18.061736531424998,168400,99.11712772218952,6,130,1888126,1719726
meta-llama-3.1-8b-instruct@iq4_xs,140,0,140,0,0.0,0.0,2612,87,230,37.16156202143951,2.740277315400024,37.964012251148546,1.5971137289653656,-0.8024502297090379,-0.03072167801336286,3.330781010719755,8.805513016845328,18.65714285714286,14.361541614709068,323400,123.81316998468607,4,82,3601655,3278255
meta-llama-3.1-8b-instruct@iq4_xs|NOFA,70,0,70,0,0.0,0.0,1152,42,124,36.46875,3.7373484501046996,37.845486111111114,2.6514043265003364,-1.3767361111111143,-0.11950834297839534,3.6458333333333335,10.76388888888889,16.457142857142856,11.569276695857274,140629,122.07378472222223,4,60,1557078,1416449
meta-llama-3.1-8b-instruct@iq4_xs|t001,70,0,70,0,0.0,0.0,1324,52,102,37.244712990936556,2.79467461191959,37.61480362537765,2.8710385618574072,-0.370090634441091,-0.02795246483694041,3.927492447129909,7.7039274924471295,18.914285714285715,11.025610261235114,167377,126.41767371601209,6,66,1872420,1705043
meta-llama-3.1-8b-instruct@q4_k_m,140,0,140,0,0.0,0.0,2292,124,172,37.12565445026178,3.659350040892821,38.06282722513089,1.8451096723862368,-0.9371727748691114,-0.04088886452308514,5.4101221640488655,7.504363001745201,16.37142857142857,12.521035361766707,225067,98.19677137870855,2,94,2850652,2625585
meta-llama-3.1-8b-instruct@q4_k_m|NOFA,70,0,70,0,0.0,0.0,1500,70,99,36.58266666666667,3.3455193252401467,37.656,2.5537548825210497,-1.0733333333333306,-0.07155555555555537,4.666666666666667,6.6000000000000005,21.428571428571427,15.773912847819728,140256,93.504,6,82,1619160,1478904
meta-llama-3.1-8b-instruct@q4_k_m|t001,70,0,70,0,0.0,0.0,1438,25,142,36.73574408901252,3.550899781544189,37.2712100139082,3.446009977748607,-0.5354659248956821,-0.03723685152264827,1.7385257301808066,9.874826147426981,20.542857142857144,16.17377570044061,170921,118.86022253129346,4,96,1671787,1500866
meta-llama-3.1-8b-instruct@q8_0,150,0,150,0,0.0,0.0,3453,94,255,35.159571387199534,5.338337759405422,36.26180133217492,4.314098802570683,-1.1022299449753845,-0.03192093672097841,2.7222704894294814,7.38488271068636,23.02,21.980740054268722,365365,105.81088908195771,2,138,4045996,3680631
meta-llama-3.1-8b-instruct@q8_0|NOFA,70,0,70,0,0.0,0.0,1342,52,123,36.928464977645305,3.5963564769057808,37.47391952309985,2.6158104612303448,-0.5454545454545467,-0.04064489906516742,3.8748137108792844,9.165424739195231,19.17142857142857,13.50340848883446,132864,99.00447093889717,2,68,1547147,1414283
meta-llama-3.1-8b-instruct@q8_0|t001,70,0,70,0,0.0,0.0,1704,39,143,34.21478873239437,5.664494232358043,35.35328638497653,5.344105260065485,-1.13849765258216,-0.06681324252242722,2.2887323943661975,8.392018779342724,24.34285714285714,19.048723777487574,149526,87.75,6,92,1930245,1780719
qwen2.5-14b-instruct-1m@q4_k_m,70,0,70,0,0.0,0.0,310,61,16,39.0,0.0,38.95483870967742,0.2076577669608011,0.045161290322582204,0.014568158168574903,19.67741935483871,5.161290322580645,4.428571428571429,2.886280001125663,528622,1705.2322580645161,2,16,1466430,937808
qwen2.5-14b-instruct-1m@q8_0,70,0,70,0,0.0,0.0,666,57,153,38.68168168168168,1.0048803706581662,38.91591591591592,0.27751387512645864,-0.23423423423423628,-0.03517030544057602,8.558558558558559,22.972972972972975,9.514285714285714,5.620734210156578,401509,602.8663663663664,4,28,911558,510049
qwen2.5-7b-instruct-1m@q4_k_m,70,0,70,0,0.0,0.0,728,97,113,38.33516483516483,1.2415758885848684,38.51373626373626,0.8401519333445374,-0.1785714285714306,-0.024529042386185522,13.324175824175825,15.521978021978022,10.4,7.720843773282073,80620,110.74175824175825,2,34,562542,481922
qwen2.5-7b-instruct-1m@q8_0,70,0,70,0,0.0,0.0,970,43,161,38.27010309278351,1.4780988728875513,38.049484536082474,2.3334467984295553,0.2206185567010337,0.02274418110319935,4.43298969072165,16.597938144329895,13.857142857142858,9.192055132070326,105807,109.07938144329897,2,46,714618,608811
